title,artist,album,releaseDate,albumCover,spotifyLink,intro,mood,theme,duree,type,tempo,annee
Republika,Indochine,La République des Météors,2009,assets/covers/meteors.jpg,https://open.spotify.com/track/5VzhFRd64RO9XnHFtqwAe3?si=02c4895e1c8a4174,Courte,Neutre,Autre,Moyenne,Studio,Rythmée,2001-2024
Rose Song,Indochine,Dancetaria,1999,assets/covers/dancetaria.jpg,https://open.spotify.com/track/1rqSpoZksKROwABHiycDFu?si=fd92ef26554a48d5,Courte,Triste,Amour,Longue,Studio,Calme,1981-2001
Salômbo,Indochine,3,1985,assets/covers/3.jpg,https://open.spotify.com/track/7kpZ2cikW0amjjZOkrVtSX?si=42f5fcc83144404c,Longue,Triste,Autre,Longue,Studio,Calme,1981-2001
Sanna sur la croix,Indochine,Babel Babel,2024,assets/covers/babel.jpg,https://open.spotify.com//track/2jZSg7EyotMICTY2nBOq9A?si=004d3401c16d4d9b,Courte,Triste,Autre,Moyenne,Studio,Rythmée,2001-2024
Satellite,Indochine,Wax,1996,assets/covers/wax.jpg,https://open.spotify.com/track/5KDHaLF6L6dyB2g8JviDLl?si=a0b51ec2d0584929,Courte,Neutre,Autre,Moyenne,Studio,Rythmée,1981-2001
Savoure le rouge,Indochine,Un jour dans notre vie,1993,assets/covers/jourvie.jpg,https://open.spotify.com/track/1uGgRuNXhy2q6PFo4PBych?si=07088d47d6fd4757,Courte,Joyeuse,Sexe,Moyenne,Studio,Rythmée,1981-2001
Seul au paradis,Indochine,Babel Babel,2024,assets/covers/babel.jpg,https://open.spotify.com/track/7LdAvlsMhmSLvIPvtDtBC9?si=43c4bdb1de1a42a7,Courte,Triste,Amour,Standard,Studio,Calme,2001-2024
Showtime,Indochine & Ana Perrote,Babel Babel,2024,assets/covers/babel.jpg,https://open.spotify.com/track/1RvSystCrOPz5RoOKcGpjC?si=6837d668b7ac4fd9,Longue,Joyeuse,Sexe,Longue,Studio,Rythmée,2001-2024
Song for a dream,Indochine,13,2017,assets/covers/13.jpg,https://open.spotify.com/track/3DMgqRAbgkH3v2AoRsaHdP?si=750015c8148b4ea1,Moyenne,Neutre,Autre,Longue,Studio,Rythmée,2001-2024
Station 13,Indochine,13,2017,assets/covers/13.jpg,https://open.spotify.com/track/5JZheR4wq6bn5Q67eG2rJf?si=fac298a75c614672,Moyenne,Triste,Autre,Longue,Studio,Rythmée,2001-2024
Stef II,Indochine,Dancetaria,1999,assets/covers/dancetaria.jpg,https://open.spotify.com/track/1PFEO8wosfdmPQ4wUudF8z?si=c5d9911b7c334385,Courte,Triste,Sexe,Standard,Studio,Rythmée,1981-2001
Suffragettes BB,Indochine,13,2017,assets/covers/13.jpg,https://open.spotify.com/track/57r3WFZw3gF6Kivd0Y927j?si=b24ff1f0999645bc,Moyenne,Neutre,Autre,Longue,Studio,Rythmée,2001-2024
Sweet Dreams,Indochine,Alice & June,2005,assets/covers/alice-june.jpg,https://open.spotify.com/track/06lHCbbN3lM5GVhFp5UUq2?si=5397db586a554e4c,Courte,Triste,Amour,Longue,Studio,Calme,2001-2024
Talulla,Indochine,Alice & June,2005,assets/covers/alice-june.jpg,https://open.spotify.com/track/4QURiatqTUG1QPKOXhCPnV?si=2fcf3a4971464ce6,Courte,Neutre,Autre,Standard,Studio,Calme,2001-2024
Tes yeux noirs,Indochine,3,1985,assets/covers/3.jpg,https://open.spotify.com/track/4J5yTPqkuu1IcTVe2ES6a1?si=607b7fea7ddc46de,Moyenne,Joyeuse,Amour,Moyenne,Studio,Calme,1981-2001
Thea Sonata,Indochine,Black City Parade,2013,assets/covers/bcp.jpg,https://open.spotify.com/track/3D24r6Xu73DFSOON0EsORu?si=ba74bfa6b7ae411c,Longue,Triste,Autre,Longue,Studio,Calme,2001-2024
Tokyo Boy,Indochine,Babel Babel,2024,assets/covers/babel.jpg,https://open.spotify.com/track/6qsBQEHDpAqqVlDDXSSYM2?si=ddea7ebaea1e4083,Longue,Joyeuse,Autre,Longue,Studio,Rythmée,2001-2024
Traffic Girl,Indochine,Black City Parade,2013,assets/covers/bcp.jpg,https://open.spotify.com/track/5WzC5ARS4EpYn7hk9QcaoA?si=25a0451f2b4c4eff,Longue,Triste,Autre,Longue,Studio,Rythmée,2001-2024
Trois nuits par semaine,Indochine,3,1985,assets/covers/3.jpg,https://open.spotify.com/track/3X9XJLwQPWqRnsNaL9z6ss?si=9e39698e86564ce1,Courte,Joyeuse,Sexe,Longue,Studio,Rythmée,1981-2001
Un ange à ma table,Indochine & Suzanne Combo,La République des Météors,2009,assets/covers/meteors.jpg,https://open.spotify.com/track/1UhEvi7DW3c5jRNTWgZRzL?si=3ad43c5a63e640c8,Courte,Neutre,Amour,Moyenne,Studio,Rythmée,2001-2024
